"CATEGORY","SEVERITY","CVSS_BASE","OWASP","CWE","TITLE","GROUP","AUTHENTICATION","URL","DESCRIPTION","IMPACT","SOLUTION","QID"
"","","","","","","","Not Required","https://www.wildberries.ru/catalog/aksessuary/avtotovary/derzhateli-v-avto?bid=cc8ea7a3-a32d-413c-97d5-a7797650708a')%20or%20'swqtp'%3D'swqtp","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/stats/pageview","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/stats/pageview","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/homeRecommendedGoods?name=hits&nms=%5B%5D&size=150&key=8a7de275-77de-1ae0-3302-ea42adfed5d6&startNm=undefined&user=undefined","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/catalog/knigi/hudozhestvennaya-literatura/fantastika-i-fentezi?bid=6433b1ee-4ebb-434c-a568-69998ce116c1%20or%20true()%20or%20%27and%27%20%3D%20%27and%27%20","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/stats/events","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/services/besplatnaya-dostavka","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/services/voprosy-i-otvety","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/brandlist/all/2","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/catalog/muzhchinam/bele/mayki-belevye","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/promotions/snova-v-shkolu-odezhda-i-obuv?bid=573ad792-3cf7-46fd-89f3-afb0cc4626da","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/promotions/novye-kollektsii-osen-2020?sort=newly&bid=267aa71f-51c3-4f28-867b-e625a0759708","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/services/voprosy-i-otvety","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/catalog/10964684/detail.aspx?targetUrl=MI","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/catalog/obuv/ortopedicheskaya-obuv","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/catalog/7069406/detail.aspx?targetUrl=MI","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/brands/geox","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/catalog/muzhchinam/bele/mayki-belevye","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/promotions/lyubimye-produkty-so-skidkoy/produkty?sort=popular&bid=102b9d20-f58e-44b6-b619-6ec783f63a84","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/services/voprosy-i-otvety","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/brands/geox","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/services/besplatnaya-dostavka","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/catalog/9236921/detail.aspx?targetUrl=MI","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/catalog/14018475/detail.aspx?targetUrl=TG","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/promo/priglashaem-k-sotrudnichestvu","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/menu/getrendered?lang=ru&burger=true","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/catalog/bytovaya-tehnika/krupnaya-bytovaya-tehnika?bid=fee6df8e-84ce-43c1-97e7-ba6739956312%20or%204325%3D4325%20--%20","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/brandlist/all/2","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/catalog/10467430/detail.aspx?targetUrl=MI","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/services/voprosy-i-otvety?8_1","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/promotions/snova-v-shkolu-odezhda-i-obuv?bid=573ad792-3cf7-46fd-89f3-afb0cc4626da","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/goods/visited","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/promotions/novye-kollektsii-osen-2020?sort=newly&bid=267aa71f-51c3-4f28-867b-e625a0759708","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/promotions/lyubimye-produkty-so-skidkoy/produkty?sort=popular&bid=102b9d20-f58e-44b6-b619-6ec783f63a84","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/catalog/dlya-remonta/instrumenty-i-osnastka/semniki-stopornyh-kolets","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/services/voprosy-i-otvety?8_1","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/services/voprosy-i-otvety","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/","","","",""
"","","","","","","","Not Required","https://www.wildberries.ru/catalog/bytovaya-tehnika/krupnaya-bytovaya-tehnika?bid=22e8a875-58a3-4d4c-9336-7d3c2acc9f18","","","",""
